"","Pokemon","PokedexEntry"
"1","Bulbasaur","A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON."
"2","Bulbasaur","It can go for days without eating a single morsel. In the bulb on its back, it stores energy."
"3","Bulbasaur","The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows."
"4","Bulbasaur","It carries a seed on its back right from birth. As it grows older, the seed also grows larger."
"5","Bulbasaur","While it is young, it uses the nutrients that are stored in the seeds on its back in order to grow."
"6","Bulbasaur","BULBASAUR can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger."
"7","Bulbasaur","There is a plant seed on its back right from the day this POKéMON is born. The seed slowly grows larger."
"8","Bulbasaur","For some time after its birth, it grows by gaining nourishment from the seed on its back."
"9","Bulbasaur","A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokémon."
"10","Bulbasaur","Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger."
"11","Bulbasaur","There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger."
"12","Bulbasaur","While it is young, it uses the nutrients that are stored in the seed on its back in order to grow."
"13","Bulbasaur","For some time after its birth, it grows by taking nourishment from the seed on its back."
"14","Ivysaur","When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."
"15","Ivysaur","The bulb on its back grows by drawing energy. It gives off an aroma when it is ready to bloom."
"16","Ivysaur","Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger."
"17","Ivysaur","If the bud on its back starts to smell sweet, it is evidence that the large flower will soon bloom."
"18","Ivysaur","The bulb on its back grows as it absorbs nutrients. The bulb gives off a pleasant aroma when it blooms."
"19","Ivysaur","There is a bud on this POKéMON’s back. To support its weight, IVYSAUR’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon."
"20","Ivysaur","There is a plant bulb on its back. When it absorbs nutrients, the bulb is said to blossom into a large flower."
"21","Ivysaur","To support its bulb, IVYSAUR’s legs grow sturdy. If it spends more time lying in the sunlight, the bud will soon bloom into a large flower."
"22","Ivysaur","When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom."
"23","Ivysaur","There is a bud on this Pokémon’s back. To support its weight, Ivysaur’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon."
"24","Ivysaur","The bud on its back grows by drawing energy. It gives off an aroma when it is ready to bloom."
"25","Venusaur","The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight."
"26","Venusaur","The flower on its back catches the sun’s rays. The sunlight is then absorbed and used for energy."
"27","Venusaur","By spreading the broad petals of its flower and catching the sun’s rays, it fills its body with power."
"28","Venusaur","It is able to convert sunlight into energy. As a result, it is more powerful in the summertime."
"29","Venusaur","As it warms itself and absorbs the sunlight, its flower petals release a pleasant fragrance."
"30","Venusaur","There is a large flower on VENUSAUR’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people."
"31","Venusaur","A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle."
"32","Venusaur","Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight."
"33","Venusaur","VENUSAUR’s flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people."
"34","Venusaur","After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon."
"35","Venusaur","There is a large flower on Venusaur’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people."
"36","Venusaur","In order to support its flower, which has grown larger due to Mega Evolution, its back and legs have become stronger."
"37","Charmander","Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail."
"38","Charmander","The flame at the tip of its tail makes a sound as it burns. You can only hear it in quiet places."
"39","Charmander","The flame on its tail shows the strength of its life force. If it is weak, the flame also burns weakly."
"40","Charmander","The flame on its tail indicates CHARMANDER’s life force. If it is healthy, the flame burns brightly."
"41","Charmander","If it’s healthy, the flame on the tip of its tail will burn vigorously, even if it gets a bit wet."
"42","Charmander","The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when CHARMANDER is enjoying itself. If the POKéMON becomes enraged, the flame burns fiercely."
"43","Charmander","From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out."
"44","Charmander","It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail."
"45","Charmander","The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when CHARMANDER is happy, and blazes when it is enraged."
"46","Charmander","The fire on the tip of its tail is a measure of its life. If healthy, its tail burns intensely."
"47","Charmander","The flame on its tail indicates Charmander’s life force. If it is healthy, the flame burns brightly."
"48","Charmander","The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely."
"49","Charmander","The fire on the tip of its tail is a measure of its life. If the Pokémon is healthy, its tail burns intensely."
"50","Charmeleon","When it swings its burning tail, it elevates the temperature to unbearably high levels."
"51","Charmeleon","Tough fights could excite this POKéMON. When excited, it may blow out bluish-white flames."
"52","Charmeleon","It is very hotheaded by nature, so it constantly seeks opponents. It calms down only when it wins."
"53","Charmeleon","It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws."
"54","Charmeleon","If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings."
"55","Charmeleon","CHARMELEON mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color."
"56","Charmeleon","It lashes about with its tail to knock down its foe. It then tears up the fallen opponent with sharp claws."
"57","Charmeleon","When it swings its burning tail, it elevates the air temperature to unbearably high levels."
"58","Charmeleon","Without pity, its sharp claws destroy foes. If it encounters a strong enemy, it becomes agitated, and the flame on its tail flares with a bluish white color."
"59","Charmeleon","In the rocky mountains where CHARMELEON live, their fiery tails shine at night like stars."
"60","Charmeleon","In the rocky mountains where Charmeleon live, their fiery tails shine at night like stars."
"61","Charmeleon","Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color."
"62","Charmeleon","Tough fights could excite this Pokémon. When excited, it may breathe out bluish-white flames."
"63","Charizard","Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally."
"64","Charizard","When expelling a blast of super hot fire, the red flame at the tip of its tail burns more intensely."
"65","Charizard","If CHARIZARD becomes furious, the flame at the tip of its tail flares up in a whitish-blue color."
"66","Charizard","Breathing intense, hot flames, it can melt almost anything. Its breath inflicts terrible pain on enemies."
"67","Charizard","It uses its wings to fly high. The temperature of its fire increases as it gains experience in battle."
"68","Charizard","CHARIZARD flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself."
"69","Charizard","Its wings can carry this POKéMON close to an altitude of 4,600 feet. It blows out fire at very high temperatures."
"70","Charizard","It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames."
"71","Charizard","A CHARIZARD flies about in search of strong opponents. It breathes intense flames that can melt any material. However, it will never torch a weaker foe."
